CSC 349,6,TRUE,CSC 349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE B2,6,TRUE,BIO 213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE B2,6,TRUE,BRAE 213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOFT ENG,7,TRUE,CSC 307,CSC 308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECH ELEC,7,TRUE,CSC 473,CSC 474,CSC 475,CSC 476,CSC 478,CSC 572,CSC 366,CSC 466,CSC 468,CSC 560,CSC 465,CSC 564,CSC 469,CSC 569,CSC 454,CSC 456,CSC 458,CSC 556,CSC 550,CSC 316,CSC 416,CSC 459,CSC 520,CPE 482,CSC 343,CSC 530,CSC 402,CSC 405,CSC 406,CSC 409,CSC 437,CSC 508,CSC 509,CSC 435,CSC 483,CSC 487,CSC 581,CSC 486,CSC 416,CSC 481,CSC 485,CSC 489,CSC 580,CSC 581,CPE 482,CSC 449,CSC 343,CSC 540,CSC 541,CSC 341,CSC 342,CSC 305,CSC 365,CSC 369,CSC 448,CSC 464,CSC 471,CSC 477,CSC 480,CSC 484,CSC 488,CSC 587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATH/STAT,7,TRUE,CSC 142,MATH 143,MATH 206,MATH 241,MATH 244,MATH 248,MATH 248,MATH 306,MATH 335,MATH 336,MATH 437,MATH 470,STAT 322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSC 309,8,TRUE,CSC 309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSC 430,8,TRUE,CSC 430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATH/STAT,8,TRUE,CSC 142,MATH 143,MATH 206,MATH 241,MATH 244,MATH 248,MATH 248,MATH 306,MATH 335,MATH 336,MATH 437,MATH 470,STAT 322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE C1,8,TRUE,ENGL 230,ENGL 231,ENGL 240,ENGL 251,ENGL 252,ENGL 253,FR 233,GER 233,HNRS 232,HNRS 251,SPAN 233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSC 300,9,TRUE,CSC 300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSC 431,9,TRUE,CSC 431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUPPORT,9,TRUE,ENGL 302,ENGL 310,ENGL 392,PSY 252,PSY 302,RELS 336,RELS 370,COMS 201,COMS 301,COMS 315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE D3,9,TRUE,ANT 201,ANT 202,ES 212,ES 241,ES 242,ES 243,ES 244,GEOG 150,HIST 210,HIST 216,HIST 221,HIST 222,HIST 223,HNRS 212,HNRS 216,HNRS 223,RELS 201,SOC 110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USCP,9,FALSE,AGB 401,ARCH 326,COMS 416,CRP 215,DANC 321,ECON 303,ENGL 345,ENGL 346,ENGL 347,ENGL 349,ENGL 381,ENGL 382,ES 112,ES 114,ES 212,ES 215,ES 240,ES 241,ES 242,ES 243,ES 244,ES 300,ES 310,ES 320,ES 321,ES 322,ES 323,ES 325,ES 326,ES 330,ES 335,ES 350,ES 360,ES 380,ES 381,FSN 250,HIST 206,HIST 207,HIST 208,HIST 333,HIST 435,HNRS 112,HNRS 212,HNRS 303,HUM 312,HOUR 219,KINE 255,KINE 260,KINE 323,KINE 324,MU 221,MU 229,MU 325,NR 360,PHIL 335,PHIL 336,POLS 310,POLS 343,PSY 472,RELS 370,SOC 316,SPAN 111,SPAN 123,SPAN 340,SPAN 351,TH 320,WGS 301,WGS 350,WGS 370,WGS 435,WGS 450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECH ELEC,10,TRUE,CSC 473,CSC 474,CSC 475,CSC 476,CSC 478,CSC 572,CSC 366,CSC 466,CSC 468,CSC 560,CSC 465,CSC 564,CSC 469,CSC 569,CSC 454,CSC 456,CSC 458,CSC 556,CSC 550,CSC 316,CSC 416,CSC 459,CSC 520,CPE 482,CSC 343,CSC 530,CSC 402,CSC 405,CSC 406,CSC 409,CSC 437,CSC 508,CSC 509,CSC 435,CSC 483,CSC 487,CSC 581,CSC 486,CSC 416,CSC 481,CSC 485,CSC 489,CSC 580,CSC 581,CPE 482,CSC 449,CSC 343,CSC 540,CSC 541,CSC 341,CSC 342,CSC 305,CSC 365,CSC 369,CSC 448,CSC 464,CSC 471,CSC 477,CSC 480,CSC 484,CSC 488,CSC 587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSC 445,10,TRUE,CSC 445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECH ELEC,10,TRUE,CSC 473,CSC 474,CSC 475,CSC 476,CSC 478,CSC 572,CSC 366,CSC 466,CSC 468,CSC 560,CSC 465,CSC 564,CSC 469,CSC 569,CSC 454,CSC 456,CSC 458,CSC 556,CSC 550,CSC 316,CSC 416,CSC 459,CSC 520,CPE 482,CSC 343,CSC 530,CSC 402,CSC 405,CSC 406,CSC 409,CSC 437,CSC 508,CSC 509,CSC 435,CSC 483,CSC 487,CSC 581,CSC 486,CSC 416,CSC 481,CSC 485,CSC 489,CSC 580,CSC 581,CPE 482,CSC 449,CSC 343,CSC 540,CSC 541,CSC 341,CSC 342,CSC 305,CSC 365,CSC 369,CSC 448,CSC 464,CSC 471,CSC 477,CSC 480,CSC 484,CSC 488,CSC 587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE C3,10,TRUE,ARCH 217,ARCH 218,ARCH 219,ART 101,ART 111,ART 112,ART 148,COMS 208,DANC 221,LA 211,LA 212,MU 101,MU 120,MU 221,MU 229,TH 210,TH 227,TH 228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSC 491,11,TRUE,CSC 491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECH ELEC,11,TRUE,CSC 473,CSC 474,CSC 475,CSC 476,CSC 478,CSC 572,CSC 366,CSC 466,CSC 468,CSC 560,CSC 465,CSC 564,CSC 469,CSC 569,CSC 454,CSC 456,CSC 458,CSC 556,CSC 550,CSC 316,CSC 416,CSC 459,CSC 520,CPE 482,CSC 343,CSC 530,CSC 402,CSC 405,CSC 406,CSC 409,CSC 437,CSC 508,CSC 509,CSC 435,CSC 483,CSC 487,CSC 581,CSC 486,CSC 416,CSC 481,CSC 485,CSC 489,CSC 580,CSC 581,CPE 482,CSC 449,CSC 343,CSC 540,CSC 541,CSC 341,CSC 342,CSC 305,CSC 365,CSC 369,CSC 448,CSC 464,CSC 471,CSC 477,CSC 480,CSC 484,CSC 488,CSC 587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE B,11,TRUE,BIO 111,BIO 115,BIO 151,BOT 121,CHEM 124,BCRO 221,MCRO 224,PHYS 141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE C4,11,TRUE,ARCH 320,ARCH 326,ART 311,ART 314,ART 318,ART 370,ART 371,COMS 308,DANC 311,DANC 321,ENGL 330,ENGL 331,ENGL 332,ENGL 333,ENGL 334,ENGL 335,ENGL 338,ENGL 339,ENGL 340,ENGL 341,ENGL 342,ENGL 343,ENGL 345,ENGL 346,ENGL 347,ENGL 349,ENGL 350,ENGL 351,ENGL 352,ENGL 353,ENGL 354,ENGL 370,ENGL 371,ENGL 372,ENGL 380,ENGL 381,ENGL 382,ENGL 386,ENGL 387,ENGL 388,ES 300,ES 326,ES 340,ES 360,FR 305,FR 350,GER 305,GER 350,HNRS 320,HNRS 332,HNRS 380,HUM 303,HUM 310,HUM 312,HUM 320,HUM 361,MU 324,MU 328,NR 360,PHIL 311,PHIL 312,PHIL 313,PHIL 314,PHIL 315,PHIL 316,PHIL 317,PHIL 320,PHIL 321,PHIL 322,PHIL 331,PHIL 332,PHIL 333,PHIL 334,PHIL 335,PHIL 336,PHIL 337,PHIL 339,PHIL 340,PHIL 341,PHIL 341,PHIL 350,RELS 301,RELS 302,RELS 304,RELS 306,RELS 307,RELS 310,RELS 311,RELS 370,RELS 372,RELS 374,RELS 378,SPAN 305,SPAN 340,SPAN 350,SPAN 351,TH 310,TH 320,TH 360,TH 390,UNIV 361,WGS 370
GWR,11,FALSE,ENGL 330,ENGL 331,ENGL 332,ENGL 333,ENGL 334,ENGL 335,ENGL 339,ENGL 340,ENGL 341,ENGL 342,ENGL 343,ENGL 345,ENGL 346,ENGL 347,ENGL 349,ENGL 350,ENGL 351,ENGL 352,ENGL 354,ENGL 370,ENGL 371,ENGL 380,ENGL 381,ENGL 382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSC 492,12,TRUE,CSC 492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECH ELEC,12,TRUE,CSC 473,CSC 474,CSC 475,CSC 476,CSC 478,CSC 572,CSC 366,CSC 466,CSC 468,CSC 560,CSC 465,CSC 564,CSC 469,CSC 569,CSC 454,CSC 456,CSC 458,CSC 556,CSC 550,CSC 316,CSC 416,CSC 459,CSC 520,CPE 482,CSC 343,CSC 530,CSC 402,CSC 405,CSC 406,CSC 409,CSC 437,CSC 508,CSC 509,CSC 435,CSC 483,CSC 487,CSC 581,CSC 486,CSC 416,CSC 481,CSC 485,CSC 489,CSC 580,CSC 581,CPE 482,CSC 449,CSC 343,CSC 540,CSC 541,CSC 341,CSC 342,CSC 305,CSC 365,CSC 369,CSC 448,CSC 464,CSC 471,CSC 477,CSC 480,CSC 484,CSC 488,CSC 587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUPPORT,12,TRUE,ENGL 302,ENGL 310,ENGL 392,PSY 252,PSY 302,RELS 336,RELS 370,COMS 201,COMS 301,COMS 315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE D2,12,TRUE,ECON 201,ECON 222,HIST 213,HIST 214,HNRS 201,SOC 218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
